iter	Passed	Remaining
0	1	187
1	3	170
2	5	166
3	6	151
4	7	150
5	9	148
6	11	147
7	12	145
8	14	143
9	15	141
10	17	139
11	18	138
12	20	136
13	21	135
14	23	133
15	25	131
16	26	130
17	28	128
18	29	127
19	54	217
20	55	210
21	57	203
22	58	197
23	60	191
24	62	186
25	64	182
26	66	179
27	67	174
28	69	170
29	71	167
30	73	163
31	75	159
32	77	156
33	78	153
34	81	150
35	82	147
36	84	143
37	93	151
38	94	148
39	96	144
40	97	140
41	98	135
42	99	132
43	101	128
44	102	125
45	104	122
46	105	119
47	107	116
48	109	113
49	110	110
50	112	108
51	115	106
52	117	103
53	118	101
54	128	105
55	130	102
56	152	115
57	154	111
58	156	108
59	157	105
60	159	101
61	161	98
62	162	95
63	164	92
64	166	89
65	167	86
66	169	83
67	170	80
68	172	77
69	173	74
70	175	71
71	177	68
72	178	66
73	180	63
74	181	60
75	216	68
76	218	65
77	220	62
78	221	58
79	223	55
80	224	52
81	226	49
82	228	46
83	229	43
84	230	40
85	232	37
86	233	34
87	237	32
88	238	29
89	240	26
90	241	23
91	243	21
92	245	18
93	246	15
94	252	13
95	253	10
96	255	7
97	256	5
98	258	2
99	259	0
